;Глубина манометра;Dшт;Руст;Рзаб;Рлин;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды_2;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб_2;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
46;;12.7;200.0;;102.14;200.0;;102.23;66.0;;;48.37;479.1;80.9;0.7;492.6;4109.0;416.0;0.7;63.5;;;;93.0;91.78;;776.7;;0.67;;131.0
47;3640.5;6.35;270.76;403.0;105.38;270.76;404.8;105.95;47.0;;104.0;22.45;182.45;49.43;0.32;191.76;1239.4;80.0;0.3;63.3;42.86;50.8;51.2;102.4;101.06;;784.0;;0.68;;212.0
48;3640.5;9.53;244.45;396.6;108.49;244.45;397.3;108.12;59.0;;107.07;36.27;383.72;93.85;0.45;401.39;2827.3;151.9;0.4;63.3;42.86;50.8;51.2;97.0;95.73;;792.0;;0.68;;194.0
49;3640.5;11.11;235.66;390.0;107.79;235.66;390.1;108.5;62.0;;105.0;42.72;498.6;117.47;1.11;520.72;3817.5;185.2;1.1;63.3;42.86;50.8;51.2;103.7;102.34;;792.0;;0.68;;187.0
50;3640.5;12.7;227.86;384.4;110.17;227.86;381.3;110.19;64.0;;104.9;47.99;612.21;139.53;0.65;638.48;4835.0;222.6;0.7;63.3;42.86;50.8;51.2;103.8;102.44;;792.0;;0.68;;180.0
51;3667.0;7.94;264.0;362.8;95.6;263.0;362.9;95.34;49.0;26.1;105.54;26.44;243.22;61.33;1.37;255.25;1924.9;101.5;1.3;63.3;39.02;48.3;50.9;93.1;91.88;;787.0;;0.67;;198.0
52;3667.0;9.53;256.0;359.3;96.6;256.0;359.3;97.32;55.0;33.4;105.57;33.69;353.22;77.99;3.5;366.86;2856.2;123.1;3.5;63.3;39.02;48.3;50.9;92.8;91.59;;787.0;;0.67;;174.0
53;3667.0;11.11;249.27;354.0;98.95;249.0;354.0;40.74;60.0;39.2;105.56;39.67;451.48;98.2;3.89;468.66;3766.5;154.0;3.9;63.3;39.02;48.3;50.9;94.8;93.56;;787.0;;0.67;;171.0
54;3667.0;12.7;239.64;348.1;100.1;239.0;348.1;45.06;64.0;43.7;105.51;44.07;537.87;113.09;5.19;557.65;4529.6;176.6;5.3;63.3;39.02;48.3;50.9;95.2;93.96;;787.0;;0.67;;165.0
55;3667.0;14.29;223.11;340.0;102.23;221.0;340.0;47.85;66.0;47.8;105.44;48.17;653.03;134.34;6.58;676.53;5557.8;206.0;6.6;63.3;39.02;48.3;50.9;96.0;94.74;;787.0;;0.67;;162.0
56;3670.0;12.7;229.89;336.3;102.4;228.0;333.1;102.29;65.1;44.8;105.04;44.74;503.75;134.48;6.66;528.67;4152.0;195.9;6.7;63.3;37.19;48.0;50.2;95.8;94.55;;778.8;;0.67;;140.0
57;3668.5;9.53;248.0;340.0;94.02;248.0;339.8;94.2;59.0;32.4;104.85;33.51;338.63;66.59;1.39;350.55;2868.6;105.2;1.4;72.54;36.75;48.4;49.7;88.8;87.64;;782.53;;0.66;;154.0
58;3668.5;11.11;239.0;334.0;95.51;239.0;331.7;95.88;61.0;38.6;104.83;39.29;432.74;77.91;2.02;445.72;3773.0;122.8;2.0;72.54;36.75;48.4;49.7;88.1;86.95;;782.53;;0.66;;141.0
59;3668.5;12.7;223.89;326.0;94.89;223.0;324.0;95.52;64.0;42.7;104.74;42.91;514.1;91.24;2.8;528.93;4590.3;142.1;2.7;72.54;36.75;48.4;49.7;88.8;87.64;;782.53;;0.66;;139.0
60;3668.5;14.29;206.0;318.0;97.27;205.0;312.5;95.52;66.0;46.9;104.64;46.72;608.78;102.94;3.23;625.49;5452.4;161.1;3.3;72.54;36.75;48.4;49.7;88.9;87.74;;782.53;;0.66;;132.0
61;3424.5;6.35;219.88;316.1;101.82;219.88;316.2;101.92;24.2;;106.2;23.66;128.37;39.74;0.6;136.82;884.0;68.9;0.5;44.2;37.21;50.2;50.7;101.8;100.47;;780.0;;0.65;;241.0
62;3424.5;9.53;201.64;281.5;103.87;201.64;275.9;103.97;35.5;;106.4;36.56;244.58;67.58;1.4;259.2;1867.0;120.4;1.4;44.2;37.21;50.2;50.7;103.6;102.25;;780.0;;0.65;;216.0
63;3424.5;11.11;182.39;257.9;103.06;182.39;258.0;103.45;42.3;;106.47;42.63;295.81;71.29;2.18;311.24;2445.0;123.9;2.3;44.2;37.21;50.2;50.7;102.6;101.26;;792.0;;0.65;;191.0
64;3424.5;12.7;163.13;236.5;104.28;163.13;237.8;104.34;47.8;;106.4;48.02;330.5;74.59;2.5;346.64;2869.0;126.4;2.6;44.2;37.21;50.2;50.7;103.9;102.54;;785.0;;0.65;;177.0
65;3424.5;14.3;149.96;221.2;104.43;149.96;221.3;104.62;50.6;;106.7;50.58;346.7;73.12;2.55;362.52;3112.0;121.4;2.6;44.2;37.21;50.2;50.7;104.0;102.64;;777.0;;0.65;;164.0
66;3437.0;7.5;212.0;305.56;100.8;215.0;305.6;99.7;40.0;26.0;106.5;25.9;162.15;45.4;0.6;172.04;1168.0;79.0;0.5;44.2;36.46;47.9;48.6;99.8;98.49;;782.0;;0.68;;219.0
67;3437.0;7.94;210.63;298.69;100.6;209.0;298.7;100.6;48.0;27.8;106.6;28.5;189.82;52.8;1.0;201.32;1401.0;93.1;1.0;44.2;36.46;47.9;48.6;99.8;98.49;;782.0;;0.68;;218.0
68;3437.0;9.53;193.52;278.23;100.6;193.0;278.2;100.6;54.0;35.1;106.6;36.3;250.43;63.9;1.5;264.35;1996.0;110.8;1.6;44.2;36.46;47.9;48.6;100.1;98.79;;782.0;;0.68;;200.0
69;3437.0;11.11;175.23;256.21;101.2;173.0;256.2;101.2;54.0;40.9;106.5;41.0;305.59;63.0;1.7;319.31;2545.0;115.5;1.9;44.2;36.46;47.9;48.6;100.1;98.79;;782.0;;0.68;;161.0
70;3437.0;12.7;153.35;234.19;101.3;154.0;234.2;101.6;56.0;45.6;106.4;46.2;344.29;69.0;0.9;359.32;3043.0;113.2;1.0;44.2;36.46;47.9;48.6;100.3;98.99;;782.0;;0.68;;157.0
71;3437.0;14.29;138.16;216.9;101.4;138.0;216.8;100.2;57.0;49.3;106.43;49.7;360.23;71.1;0.8;375.72;3320.0;116.8;0.8;44.2;36.46;47.9;48.6;100.7;99.38;;782.0;;0.68;;154.0
72;3440.0;7.94;163.62;174.0;92.05;163.0;174.0;90.95;44.0;25.6;102.55;25.94;145.68;33.94;0.24;154.32;1187.0;60.9;0.2;44.2;29.17;56.1;;90.0;88.82;;770.1;;0.57;;180.0
73;3440.0;7.94;163.6;228.46;92.59;164.0;229.1;92.64;42.0;24.8;102.51;25.81;145.72;33.63;0.24;154.29;1168.0;60.1;0.2;44.2;29.17;56.1;;90.4;89.22;;770.1;;0.57;;178.0
74;3440.0;7.94;163.0;228.1;92.63;163.0;231.4;94.15;43.0;26.6;102.07;26.24;144.77;33.85;0.24;153.39;1172.0;59.8;0.2;44.2;29.17;56.1;;90.7;89.51;;770.1;;0.57;;180.0
75;3277.8;6.35;288.78;382.5;101.9;288.78;378.6;104.1;26.5;;106.2;25.9;168.59;48.3;0.8;178.86;1891.0;116.8;0.8;44.5;40.35;53.9;52.7;101.5;100.17;;781.0;;0.67;;224.0
76;3277.8;9.53;282.7;373.7;103.8;282.7;379.6;103.5;39.0;;106.4;40.1;354.22;89.8;3.2;373.32;1192.0;82.6;0.8;44.5;40.35;53.9;52.7;101.5;100.17;;186.0;;0.67;;199.0
